state,state_name,geo_id,population,agegroup,pct_pop
IN,Indiana,18,448590,Age 10 to 14 years,0.0670349937640824
IN,Indiana,18,455653,Age 15 to 19 years,0.0680904523363994
IN,Indiana,18,471214,Age 20 to 24 years,0.0704158085368562
IN,Indiana,18,458859,Age 25 to 29 years,0.0685695405684324
IN,Indiana,18,418579,Age 30 to 34 years,0.062550303517189
IN,Indiana,18,425918,Age 35 to 39 years,0.0636470061169675
IN,Indiana,18,396284,Age 40 to 44 years,0.0592186528206282
IN,Indiana,18,419086,Age 45 to 49 years,0.062626067002417
IN,Indiana,18,420738,Age 50 to 54 years,0.0628729334276566
IN,Indiana,18,450922,Age 55 to 59 years,0.0673834759091543
IN,Indiana,18,422364,Age 60 to 64 years,0.0631159145459615
IN,Indiana,18,350525,Age 65 to 69 years,0.0523806620503243
IN,Indiana,18,265056,Age 70 to 74 years,0.0396086121115776
IN,Indiana,18,185913,Age 75 to 79 years,0.0277818872370357
IN,Indiana,18,122717,Age 80 to 84 years,0.0183382004274435
IN,Indiana,18,130810,Age 85 years and older,0.0195475769283301
IA,Iowa,19,198218,Age 0 to 4 years,0.062803831889853
IA,Iowa,19,201115,Age 5 to 9 years,0.0637217238118021
IA,Iowa,19,208564,Age 10 to 14 years,0.066081881535861
IA,Iowa,19,214122,Age 15 to 19 years,0.0678428906149749
IA,Iowa,19,227778,Age 20 to 24 years,0.0721696880213045
IA,Iowa,19,204286,Age 25 to 29 years,0.0647264305030346
IA,Iowa,19,193429,Age 30 to 34 years,0.0612864744807352
IA,Iowa,19,202104,Age 35 to 39 years,0.0640350807710039
IA,Iowa,19,177831,Age 40 to 44 years,0.0563443694760539
IA,Iowa,19,182267,Age 45 to 49 years,0.0577498815802189
IA,Iowa,19,189064,Age 50 to 54 years,0.0599034581744502
IA,Iowa,19,213907,Age 55 to 59 years,0.0677747695368876
IA,Iowa,19,203630,Age 60 to 64 years,0.0645185820043122
IA,Iowa,19,172693,Age 65 to 69 years,0.054716434130878
IA,Iowa,19,128180,Age 70 to 74 years,0.0406128362290072
IA,Iowa,19,92687,Age 75 to 79 years,0.0293671551845685
IA,Iowa,19,67179,Age 80 to 84 years,0.0212851437433958
