state_name,year,week,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start,week_yr,state
North Carolina,2019,42,NA,1.21686,NA,NA,NA,NA,NA,NA,1261,162,103627,2019-10-13,2019-42,NC
North Dakota,2019,42,NA,1.2691,NA,NA,NA,NA,NA,NA,49,15,3861,2019-10-13,2019-42,ND
Ohio,2019,42,NA,0.712468,NA,NA,NA,NA,NA,NA,140,49,19650,2019-10-13,2019-42,OH
Oklahoma,2019,42,NA,1.9705,NA,NA,NA,NA,NA,NA,187,28,9490,2019-10-13,2019-42,OK
Oregon,2019,42,NA,1.19141,NA,NA,NA,NA,NA,NA,517,96,43394,2019-10-13,2019-42,OR
Pennsylvania,2019,42,NA,1.20891,NA,NA,NA,NA,NA,NA,594,123,49135,2019-10-13,2019-42,PA
Rhode Island,2019,42,NA,0.298174,NA,NA,NA,NA,NA,NA,16,22,5366,2019-10-13,2019-42,RI
South Carolina,2019,42,NA,2.34589,NA,NA,NA,NA,NA,NA,223,25,9506,2019-10-13,2019-42,SC
South Dakota,2019,42,NA,0.694369,NA,NA,NA,NA,NA,NA,127,32,18290,2019-10-13,2019-42,SD
Tennessee,2019,42,NA,1.69618,NA,NA,NA,NA,NA,NA,705,91,41564,2019-10-13,2019-42,TN
Texas,2019,42,NA,2.55285,NA,NA,NA,NA,NA,NA,768,119,30084,2019-10-13,2019-42,TX
Utah,2019,42,NA,1.72846,NA,NA,NA,NA,NA,NA,372,53,21522,2019-10-13,2019-42,UT
Vermont,2019,42,NA,1.03608,NA,NA,NA,NA,NA,NA,56,17,5405,2019-10-13,2019-42,VT
Virginia,2019,42,NA,1.97288,NA,NA,NA,NA,NA,NA,1919,156,97269,2019-10-13,2019-42,VA
Washington,2019,42,NA,1.32254,NA,NA,NA,NA,NA,NA,286,56,21625,2019-10-13,2019-42,WA
West Virginia,2019,42,NA,0.980278,NA,NA,NA,NA,NA,NA,168,54,17138,2019-10-13,2019-42,WV
Wisconsin,2019,42,NA,1.46365,NA,NA,NA,NA,NA,NA,394,48,26919,2019-10-13,2019-42,WI
Wyoming,2019,42,NA,1.02179,NA,NA,NA,NA,NA,NA,53,21,5187,2019-10-13,2019-42,WY
Commonwealth of the Northern Mariana Islands,2019,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-13,2019-42,NA
Puerto Rico,2019,42,NA,8.39281,NA,NA,NA,NA,NA,NA,341,9,4063,2019-10-13,2019-42,PR
Virgin Islands,2019,42,NA,1.12923,NA,NA,NA,NA,NA,NA,9,3,797,2019-10-13,2019-42,VI
New York City,2019,42,NA,1.61493,NA,NA,NA,NA,NA,NA,1569,75,97156,2019-10-13,2019-42,NA
Alabama,2019,43,NA,2.35066,NA,NA,NA,NA,NA,NA,1066,96,45349,2019-10-20,2019-43,AL
Alaska,2019,43,NA,1.42744,NA,NA,NA,NA,NA,NA,72,18,5044,2019-10-20,2019-43,AK
Arizona,2019,43,NA,1.3922,NA,NA,NA,NA,NA,NA,175,28,12570,2019-10-20,2019-43,AZ
Arkansas,2019,43,NA,1.7754,NA,NA,NA,NA,NA,NA,83,14,4675,2019-10-20,2019-43,AR
California,2019,43,NA,1.74534,NA,NA,NA,NA,NA,NA,988,116,56608,2019-10-20,2019-43,CA
Colorado,2019,43,NA,2.65636,NA,NA,NA,NA,NA,NA,1007,70,37909,2019-10-20,2019-43,CO
Connecticut,2019,43,NA,1.76784,NA,NA,NA,NA,NA,NA,731,77,41350,2019-10-20,2019-43,CT
Delaware,2019,43,NA,0.0747943,NA,NA,NA,NA,NA,NA,1,6,1337,2019-10-20,2019-43,DE
District of Columbia,2019,43,NA,1.66477,NA,NA,NA,NA,NA,NA,234,5,14056,2019-10-20,2019-43,DC
Florida,2019,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-20,2019-43,FL
Georgia,2019,43,NA,3.02401,NA,NA,NA,NA,NA,NA,2387,93,78935,2019-10-20,2019-43,GA
Hawaii,2019,43,NA,2.56237,NA,NA,NA,NA,NA,NA,76,19,2966,2019-10-20,2019-43,HI
Idaho,2019,43,NA,0.780312,NA,NA,NA,NA,NA,NA,13,6,1666,2019-10-20,2019-43,ID
Illinois,2019,43,NA,1.89874,NA,NA,NA,NA,NA,NA,1667,193,87795,2019-10-20,2019-43,IL
Indiana,2019,43,NA,1.1562,NA,NA,NA,NA,NA,NA,53,24,4584,2019-10-20,2019-43,IN
Iowa,2019,43,NA,1.00646,NA,NA,NA,NA,NA,NA,81,20,8048,2019-10-20,2019-43,IA
Kansas,2019,43,NA,1.41598,NA,NA,NA,NA,NA,NA,204,31,14407,2019-10-20,2019-43,KS
Kentucky,2019,43,NA,1.59703,NA,NA,NA,NA,NA,NA,224,42,14026,2019-10-20,2019-43,KY
Louisiana,2019,43,NA,5.41898,NA,NA,NA,NA,NA,NA,2923,101,53940,2019-10-20,2019-43,LA
Maine,2019,43,NA,0.924604,NA,NA,NA,NA,NA,NA,149,55,16115,2019-10-20,2019-43,ME
Maryland,2019,43,NA,1.50493,NA,NA,NA,NA,NA,NA,763,74,50700,2019-10-20,2019-43,MD
Massachusetts,2019,43,NA,0.989778,NA,NA,NA,NA,NA,NA,611,77,61731,2019-10-20,2019-43,MA
